"input" "reason" "matches" "symbol" "organism.shortName" "name" "length" "secondaryIdentifier" "primaryIdentifier" "class"
"SPT23" "MATCH" "1" "SPT23" "S. cerevisiae" "SuPpressor of Ty" "3249" "YKL020C" "S000001503" "ORF"
"AZF1" "MATCH" "1" "AZF1" "S. cerevisiae" "Asparagine-rich Zinc-Finger" "2745" "YOR113W" "S000005639" "ORF"
"HAP2" "MATCH" "1" "HAP2" "S. cerevisiae" "Heme Activator Protein" "798" "YGL237C" "S000003206" "ORF"
"HAP1" "MATCH" "1" "HAP1" "S. cerevisiae" "Heme Activator Protein" "4509" "YLR256W" "S000004246" "ORF"
"HAP4" "MATCH" "1" "HAP4" "S. cerevisiae" "Heme Activator Protein" "1665" "YKL109W" "S000001592" "ORF"
"HAP3" "MATCH" "1" "HAP3" "S. cerevisiae" "Heme Activator Protein" "435" "YBL021C" "S000000117" "ORF"
"NDT80" "MATCH" "1" "NDT80" "S. cerevisiae" "Non-DiTyrosine" "1884" "YHR124W" "S000001166" "ORF"
"HAP5" "MATCH" "1" "HAP5" "S. cerevisiae" "Heme Activator Protein" "729" "YOR358W" "S000005885" "ORF"
"YAP1" "MATCH" "1" "YAP1" "S. cerevisiae" "Yeast AP-1" "1953" "YML007W" "S000004466" "ORF"
"GZF3" "MATCH" "1" "GZF3" "S. cerevisiae" "Gata Zinc Finger protein" "1656" "YJL110C" "S000003646" "ORF"
"MAC1" "MATCH" "1" "MAC1" "S. cerevisiae" "Metal binding ACtivator" "1254" "YMR021C" "S000004623" "ORF"
"YAP3" "MATCH" "1" "YAP3" "S. cerevisiae" "Yeast AP-1" "993" "YHL009C" "S000001001" "ORF"
"YAP5" "MATCH" "1" "YAP5" "S. cerevisiae" "Yeast AP-1" "738" "YIR018W" "S000001457" "ORF"
"YAP7" "MATCH" "1" "YAP7" "S. cerevisiae" "Yeast AP-1" "738" "YOL028C" "S000005388" "ORF"
"YAP6" "MATCH" "1" "YAP6" "S. cerevisiae" "Yeast homolog of AP-1" "1152" "YDR259C" "S000002667" "ORF"
"CST6" "MATCH" "1" "CST6" "S. cerevisiae" "Chromosome STability" "1764" "YIL036W" "S000001298" "ORF"
"YRR1" "MATCH" "1" "YRR1" "S. cerevisiae" "Yeast Reveromycin-A Resistant" "2433" "YOR162C" "S000005688" "ORF"
"HSF1" "MATCH" "1" "HSF1" "S. cerevisiae" "Heat Shock transcription Factor" "2502" "YGL073W" "S000003041" "ORF"
"SFL1" "MATCH" "1" "SFL1" "S. cerevisiae" "Suppressor gene for FLocculation" "2301" "YOR140W" "S000005666" "ORF"
"YER184C" "MATCH" "1" "TOG1" "S. cerevisiae" "Transcriptional regulator of Oleate utilization Genes" "2385" "YER184C" "S000000986" "ORF"
"PUT3" "MATCH" "1" "PUT3" "S. cerevisiae" "Proline UTilization" "2940" "YKL015W" "S000001498" "ORF"
"UME1" "MATCH" "1" "UME1" "S. cerevisiae" "Unscheduled Meiotic gene Expression" "1383" "YPL139C" "S000006060" "ORF"
"MATA2" "MATCH" "1" "MATA2" "S. cerevisiae" "" "" "MATA2" "S000029661" "NotInSystematicSequenceOfS288C"
"TBS1" "MATCH" "1" "TBS1" "S. cerevisiae" "ThiaBendazole Sensitive" "3285" "YBR150C" "S000000354" "ORF"
"MATA1" "MATCH" "1" "MATA1" "S. cerevisiae" "" "" "MATA1" "S000029660" "NotInSystematicSequenceOfS288C"
"UME6" "MATCH" "1" "UME6" "S. cerevisiae" "Unscheduled Meiotic gene Expression" "2511" "YDR207C" "S000002615" "ORF"
"MGA1" "MATCH" "1" "MGA1" "S. cerevisiae" "" "1371" "YGR249W" "S000003481" "ORF"
"THO2" "MATCH" "1" "THO2" "S. cerevisiae" "suppressor of the Transcriptional defect of Hpr1 by Overexpression" "4794" "YNL139C" "S000005083" "ORF"
"RLM1" "MATCH" "1" "RLM1" "S. cerevisiae" "Resistance to Lethality of MKK1P386 overexpression" "2031" "YPL089C" "S000006010" "ORF"
"YER130C" "MATCH" "1" "COM2" "S. cerevisiae" "Cousin of Msn2" "1332" "YER130C" "S000000932" "ORF"
"YHP1" "MATCH" "1" "YHP1" "S. cerevisiae" "Yeast Homeo-Protein" "1062" "YDR451C" "S000002859" "ORF"
"HAC1" "MATCH" "1" "HAC1" "S. cerevisiae" "Homologous to Atf/Creb1" "969" "YFL031W" "S000001863" "ORF"
"CHA4" "MATCH" "1" "CHA4" "S. cerevisiae" "Catabolism of Hydroxy Amino acids" "1947" "YLR098C" "S000004088" "ORF"
"RIM101" "MATCH" "1" "RIM101" "S. cerevisiae" "Regulator of IME2" "1878" "YHL027W" "S000001019" "ORF"
"SRD1" "MATCH" "1" "SRD1" "S. cerevisiae" "" "666" "YCR018C" "S000000611" "ORF"
"GAL80" "MATCH" "1" "GAL80" "S. cerevisiae" "GALactose metabolism" "1308" "YML051W" "S000004515" "ORF"
"PDR3" "MATCH" "1" "PDR3" "S. cerevisiae" "Pleiotropic Drug Resistance" "2931" "YBL005W" "S000000101" "ORF"
"PDR1" "MATCH" "1" "PDR1" "S. cerevisiae" "Pleiotropic Drug Resistance" "3207" "YGL013C" "S000002981" "ORF"
"EDS1" "MATCH" "1" "EDS1" "S. cerevisiae" "Expression Dependent on Slt2" "2760" "YBR033W" "S000000237" "ORF"
"PDR8" "MATCH" "1" "PDR8" "S. cerevisiae" "Pleiotropic Drug Resistance" "2106" "YLR266C" "S000004256" "ORF"
"SUM1" "MATCH" "1" "SUM1" "S. cerevisiae" "SUppresor of Mar1-1" "3189" "YDR310C" "S000002718" "ORF"
"MIG1" "MATCH" "1" "MIG1" "S. cerevisiae" "Multicopy Inhibitor of GAL gene expression" "1515" "YGL035C" "S000003003" "ORF"
"MIG2" "MATCH" "1" "MIG2" "S. cerevisiae" "Multicopy Inhibitor of GAL gene expression" "1149" "YGL209W" "S000003177" "ORF"
"YPR022C" "MATCH" "1" "SDD4" "S. cerevisiae" "Suppressor of Degenerative Death" "3402" "YPR022C" "S000006226" "ORF"
"MET32" "MATCH" "1" "MET32" "S. cerevisiae" "METhionine requiring" "576" "YDR253C" "S000002661" "ORF"
"YKL222C" "MATCH" "1" "" "S. cerevisiae" "" "2118" "YKL222C" "S000001705" "ORF"
"MET31" "MATCH" "1" "MET31" "S. cerevisiae" "METhionine requiring" "534" "YPL038W" "S000005959" "ORF"
"NHP6A" "MATCH" "1" "NHP6A" "S. cerevisiae" "Non-Histone Protein" "282" "YPR052C" "S000006256" "ORF"
"SPT15" "MATCH" "1" "SPT15" "S. cerevisiae" "SuPpressor of Ty insertions" "723" "YER148W" "S000000950" "ORF"
"MIG3" "MATCH" "1" "MIG3" "S. cerevisiae" "Multicopy Inhibitor of Growth" "1185" "YER028C" "S000000830" "ORF"
"NHP6B" "MATCH" "1" "NHP6B" "S. cerevisiae" "Non-Histone Protein" "300" "YBR089C-A" "S000002157" "ORF"
"GSM1" "MATCH" "1" "GSM1" "S. cerevisiae" "Glucose Starvation Modulator" "1857" "YJL103C" "S000003639" "ORF"
"LYS14" "MATCH" "1" "LYS14" "S. cerevisiae" "LYSine requiring" "2373" "YDR034C" "S000002441" "ORF"
"SFP1" "MATCH" "1" "SFP1" "S. cerevisiae" "Split Finger Protein" "2052" "YLR403W" "S000004395" "ORF"
"ORC1" "MATCH" "1" "ORC1" "S. cerevisiae" "Origin Recognition Complex" "2745" "YML065W" "S000004530" "ORF"
"CAD1" "MATCH" "1" "CAD1" "S. cerevisiae" "CADmium resistance" "1230" "YDR423C" "S000002831" "ORF"
"CBF1" "MATCH" "1" "CBF1" "S. cerevisiae" "Centromere Binding Factor" "1056" "YJR060W" "S000003821" "ORF"
"RSC30" "MATCH" "1" "RSC30" "S. cerevisiae" "Remodel the Structure of Chromatin" "2652" "YHR056C" "S000001098" "ORF"
"AFT1" "MATCH" "1" "AFT1" "S. cerevisiae" "Activator of Ferrous Transport" "2073" "YGL071W" "S000003039" "ORF"
"CAT8" "MATCH" "1" "CAT8" "S. cerevisiae" "CATabolite repression" "4302" "YMR280C" "S000004893" "ORF"
"AFT2" "MATCH" "1" "AFT2" "S. cerevisiae" "Activator of Fe (iron) Transcription" "1251" "YPL202C" "S000006123" "ORF"
"SPT2" "MATCH" "1" "SPT2" "S. cerevisiae" "SuPpressor of Ty's" "1002" "YER161C" "S000000963" "ORF"
"MET28" "MATCH" "1" "MET28" "S. cerevisiae" "METhionine" "564" "YIR017C" "S000001456" "ORF"
"ZAP1" "MATCH" "1" "ZAP1" "S. cerevisiae" "Zinc-responsive Activator Protein" "2643" "YJL056C" "S000003592" "ORF"
"GLN3" "MATCH" "1" "GLN3" "S. cerevisiae" "GLutamiNe metabolism" "2193" "YER040W" "S000000842" "ORF"
"RGT1" "MATCH" "1" "RGT1" "S. cerevisiae" "Restores Glucose Transport" "3513" "YKL038W" "S000001521" "ORF"
"DAL81" "MATCH" "1" "DAL81" "S. cerevisiae" "Degradation of Allantoin" "2913" "YIR023W" "S000001462" "ORF"
"DAL82" "MATCH" "1" "DAL82" "S. cerevisiae" "Degradation of Allantoin" "768" "YNL314W" "S000005258" "ORF"
"DAL80" "MATCH" "1" "DAL80" "S. cerevisiae" "Degradation of Allantoin" "810" "YKR034W" "S000001742" "ORF"
"RPH1" "MATCH" "1" "RPH1" "S. cerevisiae" "Regulator of PHR1" "2391" "YER169W" "S000000971" "ORF"
"REB1" "MATCH" "1" "REB1" "S. cerevisiae" "RNA polymerase I Enhancer Binding protein" "2433" "YBR049C" "S000000253" "ORF"
"FHL1" "MATCH" "1" "FHL1" "S. cerevisiae" "Fork Head-Like" "2811" "YPR104C" "S000006308" "ORF"
"INO4" "MATCH" "1" "INO4" "S. cerevisiae" "INOsitol requiring" "456" "YOL108C" "S000005468" "ORF"
"INO2" "MATCH" "1" "INO2" "S. cerevisiae" "INOsitol requiring" "915" "YDR123C" "S000002530" "ORF"
"URC2" "MATCH" "1" "URC2" "S. cerevisiae" "URacil Catabolism" "2319" "YDR520C" "S000002928" "ORF"
"LEU3" "MATCH" "1" "LEU3" "S. cerevisiae" "LEUcine biosynthesis" "2661" "YLR451W" "S000004443" "ORF"
"PHO4" "MATCH" "1" "PHO4" "S. cerevisiae" "PHOsphate metabolism" "939" "YFR034C" "S000001930" "ORF"
"ADR1" "MATCH" "1" "ADR1" "S. cerevisiae" "Alcohol Dehydrogenase II synthesis Regulator" "3972" "YDR216W" "S000002624" "ORF"
"SMP1" "MATCH" "1" "SMP1" "S. cerevisiae" "Second MEF2-like Protein 1" "1359" "YBR182C" "S000000386" "ORF"
"STE12" "MATCH" "1" "STE12" "S. cerevisiae" "STErile" "2067" "YHR084W" "S000001126" "ORF"
"USV1" "MATCH" "1" "USV1" "S. cerevisiae" "Up in StarVation" "1176" "YPL230W" "S000006151" "ORF"
"HCM1" "MATCH" "1" "HCM1" "S. cerevisiae" "High-Copy suppressor of Calmodulin" "1695" "YCR065W" "S000000661" "ORF"
"PHO2" "MATCH" "1" "PHO2" "S. cerevisiae" "PHOsphate metabolism" "1680" "YDL106C" "S000002264" "ORF"
"GCN4" "MATCH" "1" "GCN4" "S. cerevisiae" "General Control Nonderepressible" "846" "YEL009C" "S000000735" "ORF"
"MOT2" "MATCH" "1" "MOT2" "S. cerevisiae" "Modulator Of Transcription" "1764" "YER068W" "S000000870" "ORF"
"MOT3" "MATCH" "1" "MOT3" "S. cerevisiae" "Modifier of Transcription" "1473" "YMR070W" "S000004674" "ORF"
"NRG1" "MATCH" "1" "NRG1" "S. cerevisiae" "Negative Regulator of Glucose-repressed genes" "696" "YDR043C" "S000002450" "ORF"
"NRG2" "MATCH" "1" "NRG2" "S. cerevisiae" "Negative Regulator of Glucose-controlled genes" "663" "YBR066C" "S000000270" "ORF"
"IXR1" "MATCH" "1" "IXR1" "S. cerevisiae" "Intrastrand cross (X)-link Recognition" "1794" "YKL032C" "S000001515" "ORF"
"ACA1" "MATCH" "1" "ACA1" "S. cerevisiae" "ATF/CREB Activator" "1470" "YER045C" "S000000847" "ORF"
"YML081W" "MATCH" "1" "TDA9" "S. cerevisiae" "Topoisomerase I Damage Affected" "3756" "YML081W" "S000004546" "ORF"
"YGR067C" "MATCH" "1" "" "S. cerevisiae" "" "2415" "YGR067C" "S000003299" "ORF"
"MCM1" "MATCH" "1" "MCM1" "S. cerevisiae" "MiniChromosome Maintenance" "861" "YMR043W" "S000004646" "ORF"
"PIP2" "MATCH" "1" "PIP2" "S. cerevisiae" "Peroxisome Induction Pathway" "2991" "YOR363C" "S000005890" "ORF"
"TBF1" "MATCH" "1" "TBF1" "S. cerevisiae" "TTAGGG repeat-Binding Factor" "1689" "YPL128C" "S000006049" "ORF"
"CUP9" "MATCH" "1" "CUP9" "S. cerevisiae" "" "921" "YPL177C" "S000006098" "ORF"
"GTS1" "MATCH" "1" "GTS1" "S. cerevisiae" "Glycine Threonine Serine repeat protein" "1191" "YGL181W" "S000003149" "ORF"
"CUP2" "MATCH" "1" "CUP2" "S. cerevisiae" "" "678" "YGL166W" "S000003134" "ORF"
"RDS1" "MATCH" "1" "RDS1" "S. cerevisiae" "Regulator of Drug Sensitivity" "2499" "YCR106W" "S000000703" "ORF"
"RDS2" "MATCH" "1" "RDS2" "S. cerevisiae" "Regulator of Drug Sensitivity" "1341" "YPL133C" "S000006054" "ORF"
"YDR026C" "MATCH" "1" "NSI1" "S. cerevisiae" "NTS1 SIlencing protein 1" "1713" "YDR026C" "S000002433" "ORF"
"YNR063W" "MATCH" "1" "PUL4" "S. cerevisiae" "PULcherrimin" "1824" "YNR063W" "S000005346" "ORF"
"CRZ1" "MATCH" "1" "CRZ1" "S. cerevisiae" "Calcineurin-Responsive Zinc finger" "2037" "YNL027W" "S000004972" "ORF"
"OAF1" "MATCH" "1" "OAF1" "S. cerevisiae" "Oleate-Activated transcription Factor" "3144" "YAL051W" "S000000048" "ORF"
"CEP3" "MATCH" "1" "CEP3" "S. cerevisiae" "CEntromere Protein" "1827" "YMR168C" "S000004778" "ORF"
"GCR1" "MATCH" "1" "GCR1" "S. cerevisiae" "GlyColysis Regulation" "3109" "YPL075W" "S000005996" "ORF"
"MET4" "MATCH" "1" "MET4" "S. cerevisiae" "METhionine requiring" "2019" "YNL103W" "S000005047" "ORF"
"GCR2" "MATCH" "1" "GCR2" "S. cerevisiae" "GlyColysis Regulation" "1605" "YNL199C" "S000005143" "ORF"
"SNT2" "MATCH" "1" "SNT2" "S. cerevisiae" "" "4212" "YGL131C" "S000003099" "ORF"
"GAL4" "MATCH" "1" "GAL4" "S. cerevisiae" "GALactose metabolism" "2646" "YPL248C" "S000006169" "ORF"
"YPR013C" "MATCH" "1" "CMR3" "S. cerevisiae" "Changed Mutation Rate" "954" "YPR013C" "S000006217" "ORF"
"MSN4" "MATCH" "1" "MSN4" "S. cerevisiae" "Multicopy suppressor of SNF1 mutation" "1893" "YKL062W" "S000001545" "ORF"
"ERT1" "MATCH" "1" "ERT1" "S. cerevisiae" "Ethanol Regulated Transcription factor" "1590" "YBR239C" "S000000443" "ORF"
"MSN1" "MATCH" "1" "MSN1" "S. cerevisiae" "Multicopy suppressor of SNF1 mutation" "1149" "YOL116W" "S000005476" "ORF"
"MSN2" "MATCH" "1" "MSN2" "S. cerevisiae" "Multicopy suppressor of SNF1 mutation" "2115" "YMR037C" "S000004640" "ORF"
"TYE7" "MATCH" "1" "TYE7" "S. cerevisiae" "Ty1-mediated Expression" "876" "YOR344C" "S000005871" "ORF"
"ROX1" "MATCH" "1" "ROX1" "S. cerevisiae" "Regulation by OXygen" "1107" "YPR065W" "S000006269" "ORF"
"RDR1" "MATCH" "1" "RDR1" "S. cerevisiae" "Repressor of Drug Resistance" "1641" "YOR380W" "S000005907" "ORF"
